Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
Arctic_Cluster_1294	3	4	0	1	3	4	5	0	8	0	4	1	0	4	2	2	0	1	1	5	18	13	6	0	6	6	2	8	11	0	8	6	5	2	1
Arctic_Cluster_967	5	2	0	1	3	4	6	0	9	0	3	0	1	5	2	1	0	6	4	0	8	9	11	2	8	3	2	9	6	4	12	3	5	2	3
Arctic_Cluster_41	5	6	0	0	2	4	0	0	12	0	2	3	0	4	2	3	0	1	2	4	7	8	11	2	8	8	2	12	12	1	6	5	4	2	0
Arctic_Cluster_499	3	5	0	5	10	5	6	0	5	1	9	3	0	3	6	1	3	5	2	2	11	2	3	3	9	2	2	6	7	1	6	4	4	3	0
Arctic_Cluster_1278	1	3	0	1	12	3	1	0	3	1	17	0	0	0	10	3	0	2	2	0	12	9	3	2	8	6	2	1	12	9	2	5	1	4	1
Arctic_Cluster_666	7	3	0	1	7	2	5	0	15	0	5	2	0	4	4	1	0	1	0	2	7	12	8	3	5	4	0	7	8	4	3	7	5	1	2
Arctic_Cluster_724	3	2	0	3	8	1	3	0	7	0	3	2	0	3	3	0	1	2	3	7	20	11	6	0	4	5	0	2	10	8	6	7	0	4	1
Arctic_Cluster_28	1	3	1	5	9	2	2	1	6	0	13	1	0	3	2	0	1	2	0	2	10	10	9	0	9	5	1	5	8	4	3	2	3	5	3
Arctic_Cluster_652	4	3	0	2	3	2	3	0	12	0	3	1	0	2	2	0	0	2	5	4	9	13	10	3	8	6	2	7	1	5	3	8	4	0	4
Arctic_Cluster_668	4	2	1	0	6	1	3	0	6	1	2	3	0	4	0	1	1	3	4	2	8	7	11	4	6	7	1	12	6	3	2	5	10	2	3
Arctic_Cluster_1320	3	7	0	0	7	1	3	0	9	1	4	1	0	1	0	1	0	4	1	5	14	16	4	1	5	9	2	12	10	2	2	1	4	1	0
Arctic_Cluster_114	9	1	0	1	2	5	1	0	3	1	2	0	1	6	0	1	2	4	2	8	1	7	12	4	2	9	0	12	4	6	8	8	5	2	1
Arctic_Cluster_153	1	2	0	2	10	3	1	0	13	0	8	2	0	2	1	0	1	3	2	3	14	8	7	1	11	5	1	7	5	6	2	6	1	2	0
Arctic_Cluster_648	2	5	0	1	4	2	2	0	8	0	4	0	0	7	1	0	2	3	1	11	14	9	8	3	3	11	0	9	9	1	3	4	1	1	1
Arctic_Cluster_1804	4	3	0	2	1	2	3	0	10	0	5	0	1	4	3	2	3	4	3	5	9	7	9	4	6	8	0	5	6	3	5	6	2	3	2
Arctic_Cluster_66	9	6	0	4	7	6	6	0	12	0	2	0	0	4	0	0	2	5	0	6	2	3	0	0	6	10	0	3	6	6	5	7	6	5	0
Arctic_Cluster_1637	15	2	1	1	1	8	9	1	13	0	4	0	0	2	4	4	4	11	5	10	1	3	5	2	0	1	0	1	1	1	0	1	6	9	1
Arctic_Cluster_73	9	4	0	4	4	5	5	0	14	0	6	1	0	5	2	1	1	5	3	5	1	2	5	5	6	4	0	2	2	4	5	5	2	5	3
Arctic_Cluster_510	12	6	1	1	2	9	7	0	14	0	0	4	1	0	0	0	0	3	2	7	1	2	2	0	3	14	1	15	2	0	3	6	3	3	1
Arctic_Cluster_801	6	1	1	0	4	4	0	0	4	0	2	3	1	3	1	1	1	1	0	3	13	12	7	3	3	11	0	6	5	9	5	7	3	3	1
Arctic_Cluster_1033	4	2	0	3	4	2	3	0	7	0	3	0	0	2	3	4	1	1	3	4	10	9	12	2	2	3	3	9	9	4	6	4	2	2	1
Arctic_Cluster_1097	7	1	1	2	5	4	3	0	6	0	2	1	1	4	2	1	0	1	4	5	5	10	10	2	2	7	1	11	6	1	5	5	4	1	3
Arctic_Cluster_1424	1	5	0	1	10	1	0	0	4	0	17	0	0	5	1	0	1	0	2	0	13	9	4	0	9	5	0	3	15	5	3	6	2	0	1
Arctic_Cluster_1250	0	0	0	4	10	1	2	0	2	0	4	1	0	3	6	3	0	0	2	0	32	12	3	0	5	3	0	4	13	6	4	0	1	0	0
Arctic_Cluster_1907	4	3	1	1	3	4	4	0	13	1	3	0	0	2	1	1	1	2	4	11	2	7	11	1	3	7	0	6	4	3	2	8	2	3	3
Arctic_Cluster_334	9	1	0	1	5	0	3	0	10	0	5	2	0	5	0	1	0	0	4	3	11	8	12	0	5	6	0	4	6	5	6	4	2	1	1
